#Turrit-H15-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
35	4.621214	0.00453778	0	7.952	NA	0	linear	1	no	mollusk	Turritella_plebia
12	4.568892	0.004236825	0.067	NA	NA	0.067	NA	NA	NA	NA	NA
12	4.568701	0.004597885	0.134	NA	NA	0.134	NA	NA	NA	NA	NA
16	4.577034	0.001903188	2.142	NA	NA	2.142	NA	NA	NA	NA	NA
23	4.649266	0.002474592	2.908	NA	NA	2.908	NA	NA	NA	NA	NA
11	4.623682	0.000866295	2.931	NA	NA	2.931	NA	NA	NA	NA	NA
12	4.671742	0.00314733	2.953	NA	NA	2.953	NA	NA	NA	NA	NA
32	4.632625	0.002140996	2.976	NA	NA	2.976	NA	NA	NA	NA	NA
10	4.609337	0.002934683	2.998	NA	NA	2.998	NA	NA	NA	NA	NA
7	4.573594	0.000894133	3.032	NA	NA	3.032	NA	NA	NA	NA	NA
30	4.638655	0.002212923	5.787	NA	NA	5.787	NA	NA	NA	NA	NA
18	4.60788	0.003056246	6.047	NA	NA	6.047	NA	NA	NA	NA	NA
30	4.623779	0.001451022	6.307	NA	NA	6.307	NA	NA	NA	NA	NA
86	4.604393	0.002393595	7.952	NA	NA	7.952	NA	NA	NA	NA	NA
