#Turrit-HRS5-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
34	1.568611	0.11778888	0	7.952	NA	0	linear	1	no	mollusk	Turritella_plebia
12	1.409741	0.11059852	0.067	NA	NA	0.067	NA	NA	NA	NA	NA
11	1.509694	0.0744099	0.134	NA	NA	0.134	NA	NA	NA	NA	NA
16	1.996181	0.06283127	2.142	NA	NA	2.142	NA	NA	NA	NA	NA
23	1.943403	0.12926133	2.908	NA	NA	2.908	NA	NA	NA	NA	NA
11	1.969406	0.10993555	2.931	NA	NA	2.931	NA	NA	NA	NA	NA
12	1.992707	0.09649932	2.953	NA	NA	2.953	NA	NA	NA	NA	NA
32	1.938924	0.06928755	2.976	NA	NA	2.976	NA	NA	NA	NA	NA
10	2.057863	0.0203389	2.998	NA	NA	2.998	NA	NA	NA	NA	NA
7	1.683694	0.05216548	3.032	NA	NA	3.032	NA	NA	NA	NA	NA
30	1.985648	0.04752258	5.787	NA	NA	5.787	NA	NA	NA	NA	NA
18	1.884528	0.04222635	6.047	NA	NA	6.047	NA	NA	NA	NA	NA
30	1.941136	0.0346024	6.307	NA	NA	6.307	NA	NA	NA	NA	NA
86	1.904138	0.05146859	7.952	NA	NA	7.952	NA	NA	NA	NA	NA
