#Turrit-NR5-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
34	2.211245	0.03181575	0	7.952	NA	0	linear	1	no	mollusk	Turritella_plebia
11	2.40265	0.02504671	0.067	NA	NA	0.067	NA	NA	NA	NA	NA
11	2.302655	0.01942557	0.134	NA	NA	0.134	NA	NA	NA	NA	NA
16	2.518269	0.03749118	2.142	NA	NA	2.142	NA	NA	NA	NA	NA
23	2.298556	0.01751124	2.908	NA	NA	2.908	NA	NA	NA	NA	NA
11	2.417182	0.01162172	2.931	NA	NA	2.931	NA	NA	NA	NA	NA
12	2.444146	0.04175335	2.953	NA	NA	2.953	NA	NA	NA	NA	NA
32	2.326812	0.03151305	2.976	NA	NA	2.976	NA	NA	NA	NA	NA
10	2.424174	0.03964861	2.998	NA	NA	2.998	NA	NA	NA	NA	NA
7	2.445352	0.06961585	3.032	NA	NA	3.032	NA	NA	NA	NA	NA
30	2.330874	0.04922929	5.787	NA	NA	5.787	NA	NA	NA	NA	NA
16	2.232405	0.02668655	6.047	NA	NA	6.047	NA	NA	NA	NA	NA
30	2.32525	0.03295723	6.307	NA	NA	6.307	NA	NA	NA	NA	NA
86	2.448835	0.06135551	7.952	NA	NA	7.952	NA	NA	NA	NA	NA
