#Turrit-W1-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
35	3.121823	0.00499118	0	7.952	NA	0	linear	1	no	mollusk	Turritella_plebia
12	3.0562	0.004644312	0.067	NA	NA	0.067	NA	NA	NA	NA	NA
12	3.012294	0.009177911	0.134	NA	NA	0.134	NA	NA	NA	NA	NA
16	3.056792	0.002173117	2.142	NA	NA	2.142	NA	NA	NA	NA	NA
23	3.031967	0.002330346	2.908	NA	NA	2.908	NA	NA	NA	NA	NA
11	3.021749	0.001966284	2.931	NA	NA	2.931	NA	NA	NA	NA	NA
12	3.050535	0.004006404	2.953	NA	NA	2.953	NA	NA	NA	NA	NA
32	3.011868	0.003485891	2.976	NA	NA	2.976	NA	NA	NA	NA	NA
10	3.011276	0.0040691	2.998	NA	NA	2.998	NA	NA	NA	NA	NA
7	3.043951	0.001338359	3.032	NA	NA	3.032	NA	NA	NA	NA	NA
30	3.014276	0.002594002	5.787	NA	NA	5.787	NA	NA	NA	NA	NA
18	2.951761	0.005976148	6.047	NA	NA	6.047	NA	NA	NA	NA	NA
30	2.995212	0.004509326	6.307	NA	NA	6.307	NA	NA	NA	NA	NA
86	2.966236	0.00299705	7.952	NA	NA	7.952	NA	NA	NA	NA	NA
