N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
34	3.169533	0.004875756	0	7.952	NA	0	linear	1	no	mollusk	Turritella_plebia
12	3.102343	0.0040876	0.067	NA	NA	0.067	NA	NA	NA	NA	NA
12	3.073603	0.004823462	0.134	NA	NA	0.134	NA	NA	NA	NA	NA
16	3.123764	0.001695039	2.142	NA	NA	2.142	NA	NA	NA	NA	NA
23	3.107906	0.001611351	2.908	NA	NA	2.908	NA	NA	NA	NA	NA
11	3.092387	0.001580838	2.931	NA	NA	2.931	NA	NA	NA	NA	NA
11	3.123814	0.00382835	2.953	NA	NA	2.953	NA	NA	NA	NA	NA
32	3.102035	0.002083998	2.976	NA	NA	2.976	NA	NA	NA	NA	NA
10	3.10546	0.003051142	2.998	NA	NA	2.998	NA	NA	NA	NA	NA
7	3.106465	0.001574008	3.032	NA	NA	3.032	NA	NA	NA	NA	NA
30	3.096373	0.003052143	5.787	NA	NA	5.787	NA	NA	NA	NA	NA
18	3.04477	0.004967364	6.047	NA	NA	6.047	NA	NA	NA	NA	NA
30	3.084104	0.003313248	6.307	NA	NA	6.307	NA	NA	NA	NA	NA
86	3.069305	0.002940523	7.952	NA	NA	7.952	NA	NA	NA	NA	NA
