#Turrit-W5R-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
35	3.864038	0.004309928	0	7.952	NA	0	linear	1	no	mollusk	Turritella_plebia
11	3.783243	0.008941133	0.067	NA	NA	0.067	NA	NA	NA	NA	NA
12	3.75904	0.00668487	0.134	NA	NA	0.134	NA	NA	NA	NA	NA
16	3.861234	0.004475189	2.142	NA	NA	2.142	NA	NA	NA	NA	NA
23	3.916041	0.008045543	2.908	NA	NA	2.908	NA	NA	NA	NA	NA
11	3.908591	0.00560831	2.931	NA	NA	2.931	NA	NA	NA	NA	NA
12	3.974716	0.003979882	2.953	NA	NA	2.953	NA	NA	NA	NA	NA
32	3.916657	0.003349851	2.976	NA	NA	2.976	NA	NA	NA	NA	NA
10	3.901523	0.003232101	2.998	NA	NA	2.998	NA	NA	NA	NA	NA
7	3.80482	0.008136927	3.032	NA	NA	3.032	NA	NA	NA	NA	NA
30	3.90756	0.004449743	5.787	NA	NA	5.787	NA	NA	NA	NA	NA
18	3.877159	0.003253458	6.047	NA	NA	6.047	NA	NA	NA	NA	NA
30	3.906825	0.004055003	6.307	NA	NA	6.307	NA	NA	NA	NA	NA
86	3.88323	0.003983034	7.952	NA	NA	7.952	NA	NA	NA	NA	NA
