N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	-0.020906106	0.639394318	0	0.005282	NA	0	linear	1	yes	mollusk	Bellamya
14	-0.145666615	0.537651571	3.60E-05	NA	NA	3.60E-05	NA	NA	NA	NA	NA
22	-0.43756351	1.432131114	0.000549	NA	NA	0.000549	NA	NA	NA	NA	NA
65	0.278286717	0.941675208	0.000935	NA	NA	0.000935	NA	NA	NA	NA	NA
18	-0.642084867	0.772058419	0.002988	NA	NA	0.002988	NA	NA	NA	NA	NA
109	-0.234940325	0.823036803	0.003129	NA	NA	0.003129	NA	NA	NA	NA	NA
38	0.362021009	1.1594172	0.003152	NA	NA	0.003152	NA	NA	NA	NA	NA
46	-0.066415971	1.035551054	0.00321	NA	NA	0.00321	NA	NA	NA	NA	NA
22	-0.081857008	1.091843224	0.003322	NA	NA	0.003322	NA	NA	NA	NA	NA
85	-0.071041201	0.89193775	0.003481	NA	NA	0.003481	NA	NA	NA	NA	NA
39	0.062250797	1.015164245	0.0035	NA	NA	0.0035	NA	NA	NA	NA	NA
22	0.447889145	1.575948397	0.003634	NA	NA	0.003634	NA	NA	NA	NA	NA
20	-0.146468408	0.976571098	0.003712	NA	NA	0.003712	NA	NA	NA	NA	NA
98	0.059189881	1.075084398	0.003763	NA	NA	0.003763	NA	NA	NA	NA	NA
62	-0.078994613	1.076060396	0.003778839	NA	NA	0.003778839	NA	NA	NA	NA	NA
29	0.383175674	1.269605121	0.003912	NA	NA	0.003912	NA	NA	NA	NA	NA
45	0.250134556	1.348197025	0.003942	NA	NA	0.003942	NA	NA	NA	NA	NA
37	-0.14222906	1.065314751	0.003952	NA	NA	0.003952	NA	NA	NA	NA	NA
42	-0.075472406	0.609433921	0.004151	NA	NA	0.004151	NA	NA	NA	NA	NA
48	0.619192337	1.020652834	0.004756	NA	NA	0.004756	NA	NA	NA	NA	NA
27	-0.318500025	0.895096783	0.005282	NA	NA	0.005282	NA	NA	NA	NA	NA
