N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	-0.361703757	0.841316232	0	0.005282	NA	0	linear	1	yes	mollusk	Bellamya
14	0.204882939	1.539048391	3.60E-05	NA	NA	3.60E-05	NA	NA	NA	NA	NA
22	-0.233115031	2.08342767	0.000549	NA	NA	0.000549	NA	NA	NA	NA	NA
65	0.378316025	0.811446015	0.000935	NA	NA	0.000935	NA	NA	NA	NA	NA
18	-0.868652231	1.716662145	0.002988	NA	NA	0.002988	NA	NA	NA	NA	NA
109	0.431334156	0.906372368	0.003129	NA	NA	0.003129	NA	NA	NA	NA	NA
38	0.271006215	1.382376622	0.003152	NA	NA	0.003152	NA	NA	NA	NA	NA
46	0.137663142	1.1413237	0.00321	NA	NA	0.00321	NA	NA	NA	NA	NA
22	-0.360128992	0.590714601	0.003322	NA	NA	0.003322	NA	NA	NA	NA	NA
85	0.178885092	0.810321042	0.003481	NA	NA	0.003481	NA	NA	NA	NA	NA
39	-0.337863128	0.821239673	0.0035	NA	NA	0.0035	NA	NA	NA	NA	NA
22	0.10194071	1.407318474	0.003634	NA	NA	0.003634	NA	NA	NA	NA	NA
20	0.247098416	1.532543692	0.003712	NA	NA	0.003712	NA	NA	NA	NA	NA
98	0.27580822	0.762312688	0.003763	NA	NA	0.003763	NA	NA	NA	NA	NA
62	0.124813008	1.084201129	0.003778839	NA	NA	0.003778839	NA	NA	NA	NA	NA
29	0.177418102	1.843553157	0.003912	NA	NA	0.003912	NA	NA	NA	NA	NA
45	0.371467654	1.108839331	0.003942	NA	NA	0.003942	NA	NA	NA	NA	NA
37	-0.127348972	0.739662901	0.003952	NA	NA	0.003952	NA	NA	NA	NA	NA
42	-0.586477331	0.560906528	0.004151	NA	NA	0.004151	NA	NA	NA	NA	NA
48	-0.115987314	0.857529613	0.004756	NA	NA	0.004756	NA	NA	NA	NA	NA
27	0.090643078	0.984982903	0.005282	NA	NA	0.005282	NA	NA	NA	NA	NA
