N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
7	3.71	0.018640987	3.49	3.44	NA	3.49	linear	1	no	foram	P_inflata
12	3.59	0.02349905	3.41	NA	NA	3.41	NA	NA	NA	NA	NA
14	3.72	0.021396668	3.28	NA	NA	3.28	NA	NA	NA	NA	NA
28	3.62	0.014991064	2.83	NA	NA	2.83	NA	NA	NA	NA	NA
72	3.62	0.034879298	2.76	NA	NA	2.76	NA	NA	NA	NA	NA
31	3.65	0.07750656	2.74	NA	NA	2.74	NA	NA	NA	NA	NA
25	3.58	0.03104785	2.59	NA	NA	2.59	NA	NA	NA	NA	NA
26	3.45	0.061709515	2.44	NA	NA	2.44	NA	NA	NA	NA	NA
22	3.41	0.078999221	2.35	NA	NA	2.35	NA	NA	NA	NA	NA
36	3.48	0.028330276	2.25	NA	NA	2.25	NA	NA	NA	NA	NA
34	3.34	0.024053528	2.15	NA	NA	2.15	NA	NA	NA	NA	NA
35	3.47	0.033252252	2.01	NA	NA	2.01	NA	NA	NA	NA	NA
43	3.54	0.067095505	1.91	NA	NA	1.91	NA	NA	NA	NA	NA
29	3.49	0.02242686	1.73	NA	NA	1.73	NA	NA	NA	NA	NA
29	3.47	0.04776148	1.62	NA	NA	1.62	NA	NA	NA	NA	NA
32	3.5	0.023233076	1.41	NA	NA	1.41	NA	NA	NA	NA	NA
29	3.58	0.06799995	1.18	NA	NA	1.18	NA	NA	NA	NA	NA
32	3.5	0.06350904	0.75	NA	NA	0.75	NA	NA	NA	NA	NA
41	3.61	0.039646385	0.64	NA	NA	0.64	NA	NA	NA	NA	NA
32	3.55	0.048883441	0.44	NA	NA	0.44	NA	NA	NA	NA	NA
31	3.57	0.035205017	0.36	NA	NA	0.36	NA	NA	NA	NA	NA
28	3.55	0.029513866	0.26	NA	NA	0.26	NA	NA	NA	NA	NA
30	3.55	0.01937664	0.16	NA	NA	0.16	NA	NA	NA	NA	NA
28	3.42	0.026279652	0.05	NA	NA	0.05	NA	NA	NA	NA	NA
