N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
7	539.6	9127.433014	3.49	3.44	NA	3.49	linear	1	no	foram	P_inflata
12	479.03	1936.404821	3.41	NA	NA	3.41	NA	NA	NA	NA	NA
14	507.73	6796.551457	3.28	NA	NA	3.28	NA	NA	NA	NA	NA
28	431.95	9667.137027	2.83	NA	NA	2.83	NA	NA	NA	NA	NA
72	429.98	9941.645381	2.76	NA	NA	2.76	NA	NA	NA	NA	NA
31	429.46	7794.700314	2.74	NA	NA	2.74	NA	NA	NA	NA	NA
25	450	9448.267685	2.59	NA	NA	2.59	NA	NA	NA	NA	NA
26	509.89	7647.922266	2.44	NA	NA	2.44	NA	NA	NA	NA	NA
22	480.52	10278.71546	2.35	NA	NA	2.35	NA	NA	NA	NA	NA
36	444.9	14949.90399	2.25	NA	NA	2.25	NA	NA	NA	NA	NA
34	472.66	8601.078564	2.15	NA	NA	2.15	NA	NA	NA	NA	NA
35	415.88	12164.50173	2.01	NA	NA	2.01	NA	NA	NA	NA	NA
43	392.74	12660.7504	1.91	NA	NA	1.91	NA	NA	NA	NA	NA
29	403.64	14210.40421	1.73	NA	NA	1.73	NA	NA	NA	NA	NA
29	412.19	11616.83019	1.62	NA	NA	1.62	NA	NA	NA	NA	NA
32	396.16	6796.551457	1.41	NA	NA	1.41	NA	NA	NA	NA	NA
29	415.18	11318.70443	1.18	NA	NA	1.18	NA	NA	NA	NA	NA
32	443.14	9720.816274	0.75	NA	NA	0.75	NA	NA	NA	NA	NA
41	407.98	10907.83893	0.64	NA	NA	0.64	NA	NA	NA	NA	NA
32	375.17	6568.972821	0.44	NA	NA	0.44	NA	NA	NA	NA	NA
31	375.11	4174.710544	0.36	NA	NA	0.36	NA	NA	NA	NA	NA
28	357.25	8093.48531	0.26	NA	NA	0.26	NA	NA	NA	NA	NA
30	368.69	3323.753104	0.16	NA	NA	0.16	NA	NA	NA	NA	NA
28	406.53	6038.595431	0.05	NA	NA	0.05	NA	NA	NA	NA	NA
