#Wei 1994a b P. puncticulata chamber number											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
15	3.92	0.033215062	4.14	1.79	NA	4.14	linear	1	no	foram	P_puncticulata
26	3.91	0.036921623	4.09	NA	NA	4.09	NA	NA	NA	NA	NA
18	3.87	0.03721041	3.97	NA	NA	3.97	NA	NA	NA	NA	NA
9	3.68	0.04393216	3.69	NA	NA	3.69	NA	NA	NA	NA	NA
26	3.76	0.02353156	3.66	NA	NA	3.66	NA	NA	NA	NA	NA
36	3.73	0.03052009	3.56	NA	NA	3.56	NA	NA	NA	NA	NA
24	3.69	0.016473723	3.49	NA	NA	3.49	NA	NA	NA	NA	NA
25	3.7	0.008163122	3.41	NA	NA	3.41	NA	NA	NA	NA	NA
20	3.73	0.014580563	3.28	NA	NA	3.28	NA	NA	NA	NA	NA
36	3.82	0.041432603	3.14	NA	NA	3.14	NA	NA	NA	NA	NA
41	3.78	0.026912403	3.01	NA	NA	3.01	NA	NA	NA	NA	NA
28	3.76	0.044584323	2.95	NA	NA	2.95	NA	NA	NA	NA	NA
36	3.84	0.06091024	2.9	NA	NA	2.9	NA	NA	NA	NA	NA
16	3.64	0.02193361	2.83	NA	NA	2.83	NA	NA	NA	NA	NA
37	3.64	0.024948202	2.76	NA	NA	2.76	NA	NA	NA	NA	NA
17	3.78	0.01766241	2.74	NA	NA	2.74	NA	NA	NA	NA	NA
8	3.86	0.06056521	2.59	NA	NA	2.59	NA	NA	NA	NA	NA
8	4.13	0.03489424	2.44	NA	NA	2.44	NA	NA	NA	NA	NA
12	4.2	0.03404025	2.35	NA	NA	2.35	NA	NA	NA	NA	NA
