#Wei 1994a b P. puncticulata length											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
15	338.47	1685.513025	4.14	1.79	NA	4.14	linear	1	no	foram	P_puncticulata
26	326.43	1178.892225	4.09	NA	NA	4.09	NA	NA	NA	NA	NA
18	327.77	1457.330625	3.97	NA	NA	3.97	NA	NA	NA	NA	NA
9	350.57	1384.956225	3.69	NA	NA	3.69	NA	NA	NA	NA	NA
26	351.02	2103.1396	3.66	NA	NA	3.66	NA	NA	NA	NA	NA
36	341.81	1439.064225	3.56	NA	NA	3.56	NA	NA	NA	NA	NA
24	336.47	2739.999025	3.49	NA	NA	3.49	NA	NA	NA	NA	NA
25	342.64	2494.0036	3.41	NA	NA	3.41	NA	NA	NA	NA	NA
20	339.66	2329.0276	3.28	NA	NA	3.28	NA	NA	NA	NA	NA
36	336.66	1607.609025	3.14	NA	NA	3.14	NA	NA	NA	NA	NA
41	345.19	1846.850625	3.01	NA	NA	3.01	NA	NA	NA	NA	NA
28	331.2	1806.25	2.95	NA	NA	2.95	NA	NA	NA	NA	NA
36	323	857.9041	2.9	NA	NA	2.9	NA	NA	NA	NA	NA
16	317.18	1082.081025	2.83	NA	NA	2.83	NA	NA	NA	NA	NA
37	303.19	565.0129	2.76	NA	NA	2.76	NA	NA	NA	NA	NA
17	314.22	1457.330625	2.74	NA	NA	2.74	NA	NA	NA	NA	NA
8	317.46	456.6769	2.59	NA	NA	2.59	NA	NA	NA	NA	NA
8	316.85	266.505625	2.44	NA	NA	2.44	NA	NA	NA	NA	NA
12	317.26	498.6289	2.35	NA	NA	2.35	NA	NA	NA	NA	NA
