#flexi_ar_Cisneetal.1980											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	5.6	0.2666667	0	1.95	NA	0	linear	1	no	trilobite	Flexicalymene
11	5.454545	0.2727273	0.1	NA	NA	0.1	NA	NA	NA	NA	NA
46	5.26087	0.2415459	0.15	NA	NA	0.15	NA	NA	NA	NA	NA
14	5.428571	0.4175824	0.25	NA	NA	0.25	NA	NA	NA	NA	NA
35	5.457143	0.2554622	0.3	NA	NA	0.3	NA	NA	NA	NA	NA
13	5.538462	0.2692308	0.375	NA	NA	0.375	NA	NA	NA	NA	NA
10	5.8	0.1777778	0.45	NA	NA	0.45	NA	NA	NA	NA	NA
21	5.666667	0.3333333	0.5	NA	NA	0.5	NA	NA	NA	NA	NA
31	5.806452	0.7612903	0.55	NA	NA	0.55	NA	NA	NA	NA	NA
6	6.666667	1.0666667	0.6	NA	NA	0.6	NA	NA	NA	NA	NA
21	6.761905	0.7904762	0.65	NA	NA	0.65	NA	NA	NA	NA	NA
14	7.285714	0.5274725	0.7	NA	NA	0.7	NA	NA	NA	NA	NA
7	7.285714	0.5714286	0.75	NA	NA	0.75	NA	NA	NA	NA	NA
6	6.5	1.1	0.825	NA	NA	0.825	NA	NA	NA	NA	NA
13	6.769231	0.525641	0.9	NA	NA	0.9	NA	NA	NA	NA	NA
8	6.5	0.2857143	0.95	NA	NA	0.95	NA	NA	NA	NA	NA
6	6.833333	0.1666667	1.05	NA	NA	1.05	NA	NA	NA	NA	NA
6	7	0.4	1.225	NA	NA	1.225	NA	NA	NA	NA	NA
5	7.4	0.3	1.45	NA	NA	1.45	NA	NA	NA	NA	NA
14	6.857143	0.2857143	1.725	NA	NA	1.725	NA	NA	NA	NA	NA
27	6.925926	0.3019943	1.9	NA	NA	1.9	NA	NA	NA	NA	NA
26	6.846154	0.3753846	1.95	NA	NA	1.95	NA	NA	NA	NA	NA
