	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	-2.059128419	0.025723271	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	-1.9390983	0.012861635	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	-2.014997574	0.051446541	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	-1.891168427	0.025723271	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	-1.86262672	0.025723271	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	-1.795925746	0.051446541	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-1.735422111	0.025723271	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	-2.058603264	0.051446541	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-2.105107381	0.025723271	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	-2.028657929	0.005716282	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	-2.407945609	0.051446541	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	-1.805959206	0.051446541	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	-1.895069464	0.003674753	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	-1.767189896	0.017148847	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	-2.019602738	0.017148847	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	-2.005157254	0.051446541	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
