	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	-2.321856264	0.005138767	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	-2.435374258	0.002569384	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	-2.22799671	0.010277534	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	-2.080520787	0.005138767	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	-2.117163511	0.005138767	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	-2.12165727	0.010277534	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-2.183717567	0.005138767	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	-2.287192885	0.010277534	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-2.416669453	0.005138767	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	0	0.001141948	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	-2.525728644	0.010277534	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	-2.414156869	0.010277534	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	-2.306525137	0.00073411	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	-2.206298127	0.003425845	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	-2.39456746	0.003425845	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	-2.194639489	0.010277534	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
