	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	-0.525904778	0.004544826	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	-0.49362032	0.002272413	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	-0.54460641	0.009089653	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	-0.625377136	0.004544826	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	-0.455198789	0.004544826	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	-0.597837001	0.009089653	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-0.521021309	0.004544826	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	-0.619660487	0.009089653	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-0.684146678	0.004544826	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	-0.43009966	0.001009961	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	-0.483003162	0.009089653	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	-0.419086476	0.009089653	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	-0.498364856	0.000649261	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	-0.541917362	0.003029884	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	-0.489508911	0.003029884	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	-0.596701239	0.009089653	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
