	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	-2.636365897	0.005298174	3.5	4.35	NA	3.5	linear	101	yes	bryozoa	M_lacrymans
2	4	-2.572896866	0.002649087	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	-2.718651881	0.010596348	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	-2.771706057	0.005298174	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	-2.610543177	0.005298174	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	-2.718100537	0.010596348	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-2.64970969	0.005298174	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	-2.847312268	0.010596348	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-2.847312268	0.005298174	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	-2.561503821	0.001177372	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	-2.603507604	0.010596348	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	-2.539590918	0.010596348	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	-2.632666927	0.000756882	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	-2.640745878	0.003532116	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	-2.679934307	0.003532116	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	-2.718376209	0.010596348	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
