	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	0.05642622	0.001700031	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	0.097570675	0.000850016	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	0.100660382	0.003400062	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	0.088390838	0.001700031	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	0.113107477	0.001700031	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	0.031893987	0.003400062	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	0.072497445	0.001700031	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	0.107766505	0.003400062	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	0.12076553	0.001700031	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	0.143364637	0.000377785	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	0.039867484	0.003400062	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	0.117085661	0.003400062	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	0.147955559	0.000242862	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	0.050292002	0.001133354	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	0.156143077	0.001133354	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	0.064224457	0.003400062	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
