	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	-2.054819457	0.001605241	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	-1.981870575	0.00080262	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	-2.073424859	0.003210482	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	-2.058009791	0.001605241	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	-2.042001249	0.001605241	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	-2.088246453	0.003210482	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-2.05622937	0.001605241	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	-2.120263536	0.003210482	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-2.043188196	0.001605241	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	-1.9880212	0.00035672	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	-2.080242182	0.003210482	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	-2.003166842	0.003210482	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	-1.986416145	0.00022932	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	-2.048667559	0.001070161	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	-2.034392627	0.001070161	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	-2.057416317	0.003210482	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
