	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	-0.275351755	0.015208701	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	-0.496408139	0.007604351	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	-0.21301406	0.030417402	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	-0.189452085	0.015208701	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	-0.254558823	0.015208701	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	-0.325833305	0.030417402	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-0.448096903	0.015208701	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	-0.228863005	0.030417402	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-0.311221277	0.015208701	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	0	0.003379711	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	-0.117658043	0.030417402	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	-0.608447975	0.030417402	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	-0.411419175	0.002172672	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	-0.439106789	0.010139134	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	-0.374826797	0.010139134	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	-0.179728342	0.030417402	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
