	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	0.881686318	0.003234141	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	0.770181276	0.001617071	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	0.81130935	0.006468283	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	1.007946197	0.003234141	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	0.820318962	0.003234141	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	0.869768852	0.006468283	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	0.693624099	0.003234141	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	0.774856481	0.006468283	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	0.756075828	0.003234141	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	0.719976839	0.000718698	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	0.577645627	0.006468283	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	0.729698986	0.006468283	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	0.76960087	0.00046202	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	0.897340064	0.002156094	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	0.783296099	0.002156094	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	0.923932717	0.006468283	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
