	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	-0.327924463	0.003037205	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	-0.32495896	0.001518603	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	-0.360739044	0.006074411	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	-0.189851482	0.003037205	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	-0.313707018	0.003037205	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	-0.3153556	0.006074411	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-0.32624229	0.003037205	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	-0.527690205	0.006074411	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-0.353283352	0.003037205	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	-0.386577099	0.000674935	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	-0.562272835	0.006074411	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	-0.364076395	0.006074411	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	-0.319668922	0.000433886	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	-0.229477895	0.002024804	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	-0.346094985	0.002024804	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	-0.216258737	0.006074411	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
