	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	-2.1116219	0.000958023	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	-2.079408935	0.000479012	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	-2.174130123	0.001916047	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	-2.146366949	0.000958023	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	-2.155068087	0.000958023	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	-2.120263536	0.001916047	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-2.128964674	0.000958023	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	-2.22799671	0.001916047	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-2.163769225	0.000958023	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	-2.131384318	0.000212894	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	-2.120263536	0.001916047	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	-2.120263536	0.001916047	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	-2.134265222	0.00013686	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	-2.098918814	0.000638682	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	-2.190425891	0.000638682	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	-2.12165727	0.001916047	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
