	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	2	-1.209211116	0.002082964	3.5	4.35	NA	3.5	linear	10	yes	bryozoa	M_lacrymans
2	4	-1.095263829	0.001041482	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	1	-1.172017185	0.004165927	4.8	NA	NA	4.8	NA	NA	NA	NA	NA
4	2	-1.197740162	0.002082964	5.3	NA	NA	5.3	NA	NA	NA	NA	NA
5	2	-1.133976696	0.002082964	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	1	-1.185133114	0.004165927	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-1.019793578	0.002082964	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	1	-1.302608865	0.004165927	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-1.109366232	0.002082964	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
10	9	-1.106526295	0.000462881	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
11	1	-1.139922803	0.004165927	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
12	1	-1.093736143	0.004165927	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	14	-1.089283157	0.000297566	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	3	-1.126814502	0.001388642	6.65	NA	NA	6.65	NA	NA	NA	NA	NA
15	3	-1.129448399	0.001388642	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
16	1	-1.140204246	0.004165927	7.85	NA	NA	7.85	NA	NA	NA	NA	NA
