	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.632553758	0.010623836	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	-2.60584748	0.010623836	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	-2.667507752	0.010623836	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	-2.595095101	0.003541279	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	-2.466837126	0.010623836	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	-2.368695207	0.002655959	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	-2.363629639	0.00066399	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	-2.305664412	0.003541279	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	-2.256257254	0.003541279	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	-2.625877189	0.005311918	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
