	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.751750445	0.00967622	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	-2.659260037	0.00967622	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	-2.761508478	0.00967622	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	-2.717148952	0.003225407	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	-2.659260037	0.00967622	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	-2.506181412	0.002419055	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	-2.505965479	0.000604764	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	-2.464554701	0.003225407	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	-2.393770125	0.003225407	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	-2.702952529	0.00483811	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
