	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-2.105648729	0.003351166	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	-2.120263536	0.003351166	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	-2.088246453	0.003351166	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	-2.120728114	0.001117055	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	-1.802269153	0.003351166	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	-2.007485264	0.000837791	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	-1.968730379	0.000209448	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	-1.864135421	0.001117055	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	-1.861491265	0.001117055	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	-2.120263536	0.001675583	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
