	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-0.470511011	0.003854335	5.25	2.15	NA	5.25	linear	10	yes	bryozoa	M_nsp06
2	1	-0.277224443	0.003854335	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
3	1	-0.47512527	0.003854335	5.5	NA	NA	5.5	NA	NA	NA	NA	NA
4	3	-0.340965237	0.001284778	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
5	1	-0.50092431	0.003854335	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
6	4	-0.422375724	0.000963584	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
7	16	-0.437084146	0.000240896	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
8	3	-0.429502646	0.001284778	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
9	3	-0.393372714	0.001284778	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
10	2	-0.370755066	0.001927168	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
