	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-1.098054536	0.024466157	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	-1.058635639	0.008155386	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	-1.309638166	0.024466157	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	-0.962263407	0.024466157	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	-0.940675941	0.024466157	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	-1.088699489	0.008155386	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-1.163474296	0.012233079	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	-1.04338577	0.006116539	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	-1.005812134	0.006116539	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	-1.044092734	0.024466157	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	-1.001994247	0.024466157	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	-0.987213077	0.008155386	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	-1.126897464	0.024466157	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	-1.049822124	0.024466157	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	-1.018676378	0.012233079	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
