	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-3.218318072	0.022574666	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	-3.236871124	0.007524889	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	-3.322076831	0.022574666	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	-3.100344306	0.022574666	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	-3.11370604	0.022574666	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	-3.325315086	0.007524889	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-3.318429863	0.011287333	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	-3.192165064	0.005643667	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	-3.179366828	0.005643667	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	-3.218318072	0.022574666	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	-3.266550483	0.022574666	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	-3.121984118	0.007524889	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	-3.290666689	0.022574666	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	-3.170085661	0.022574666	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	-3.218318072	0.011287333	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
