	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	0.286796327	0.004731157	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	0.279743307	0.001577052	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	0.239760658	0.004731157	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	0.239715411	0.004731157	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	0.363983561	0.004731157	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	0.319116282	0.001577052	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	0.263625228	0.002365579	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	0.268979986	0.001182789	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	0.253989785	0.001182789	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	0.30277886	0.004731157	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	0.366565983	0.004731157	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	0.308934165	0.001577052	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	0.331218971	0.004731157	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	0.223143551	0.004731157	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	0.288661265	0.002365579	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
