	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-0.202608763	0.006086645	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	-0.120920404	0.002028882	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	-0.131846068	0.006086645	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	-0.087217357	0.006086645	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	-0.113134514	0.006086645	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	-0.127784828	0.002028882	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-0.07471938	0.003043323	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	-0.118476443	0.001521661	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	-0.184168332	0.001521661	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	-0.108477768	0.006086645	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	-0.141636887	0.006086645	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	-0.139452096	0.002028882	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	-0.133531393	0.006086645	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	-0.087768115	0.006086645	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	-0.171395485	0.003043323	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
