	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	0.550314191	0.007778243	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	0.766984437	0.002592748	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	0.66258721	0.007778243	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	0.79848484	0.007778243	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	0.84032749	0.007778243	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	0.666858509	0.002592748	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	0.772736352	0.003889121	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	0.780222185	0.001944561	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	0.803739906	0.001944561	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	0.881073831	0.007778243	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	0.989278494	0.007778243	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	0.637702604	0.002592748	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	0.772054873	0.007778243	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	0.685332427	0.007778243	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	0.698272567	0.003889121	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
