	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-1.061580471	0.001550103	3.85	3.51	NA	3.85	linear	10	yes	bryozoa	M_nsp09
2	3	-1.168087303	0.000516701	5	NA	NA	5	NA	NA	NA	NA	NA
3	1	-1.038553774	0.001550103	5.1	NA	NA	5.1	NA	NA	NA	NA	NA
4	1	-1.217533425	0.001550103	5.15	NA	NA	5.15	NA	NA	NA	NA	NA
5	1	-1.21097546	0.001550103	5.35	NA	NA	5.35	NA	NA	NA	NA	NA
6	3	-1.15937642	0.000516701	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
7	2	-1.201738128	0.000775052	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
8	4	-1.256227228	0.000387526	5.6	NA	NA	5.6	NA	NA	NA	NA	NA
9	4	-1.18831862	0.000387526	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
10	1	-1.319082216	0.001550103	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
11	1	-1.258929148	0.001550103	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
12	3	-1.160705125	0.000516701	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
13	1	-1.187577893	0.001550103	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
14	1	-1.064315893	0.001550103	7.35	NA	NA	7.35	NA	NA	NA	NA	NA
15	2	-1.173724351	0.000775052	7.36	NA	NA	7.36	NA	NA	NA	NA	NA
