	N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-1.976549321	0.005302245	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	-2.136204331	0.001060449	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	-2.192362279	0.002651122	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	-2.217529793	0.001767415	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	-2.191532398	0.005302245	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	-2.207274913	0.005302245	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	-2.22799671	0.005302245	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	-2.181872439	0.000757464	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-2.185522069	0.002651122	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	-2.163769225	0.001325561	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	-2.165960679	0.000757464	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	-2.140566191	0.001767415	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	-2.120263536	0.002651122	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	-2.205842483	0.001060449	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
