N	mm	vv	age		interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	1	-1.017098523	0.00708864	3.4	3.1	NA	3.4	linear	10	yes	bryozoa	M_nsp10
2	5	-1.106645185	0.001417728	3.85	NA	NA	3.85	NA	NA	NA	NA	NA
3	2	-1.131587313	0.00354432	5	NA	NA	5	NA	NA	NA	NA	NA
4	3	-1.091358991	0.00236288	5.4	NA	NA	5.4	NA	NA	NA	NA	NA
5	1	-1.097630496	0.00708864	5.55	NA	NA	5.55	NA	NA	NA	NA	NA
6	1	-1.093736143	0.00708864	5.65	NA	NA	5.65	NA	NA	NA	NA	NA
7	1	-1.115932075	0.00708864	5.75	NA	NA	5.75	NA	NA	NA	NA	NA
8	7	-1.167612267	0.001012663	5.9	NA	NA	5.9	NA	NA	NA	NA	NA
9	2	-1.141607589	0.00354432	5.95	NA	NA	5.95	NA	NA	NA	NA	NA
10	4	-1.060328356	0.00177216	6.25	NA	NA	6.25	NA	NA	NA	NA	NA
11	7	-1.057186374	0.001012663	6.35	NA	NA	6.35	NA	NA	NA	NA	NA
12	3	-1.132288171	0.00236288	6.4	NA	NA	6.4	NA	NA	NA	NA	NA
13	2	-1.105387368	0.00354432	6.45	NA	NA	6.45	NA	NA	NA	NA	NA
14	5	-1.118955182	0.001417728	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
												
