N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	19.423513	1.326878218	3.2860715	1.436034	NA	3.2860715	linear	1	no	diatom	Rhizosolenia_bergonii
30	18.384964	1.998214071	3.190174	NA	NA	3.190174	NA	NA	NA	NA	NA
30	19.933798	2.601027073	3.16041	NA	NA	3.16041	NA	NA	NA	NA	NA
30	19.131697	3.511591158	3.1269724	NA	NA	3.1269724	NA	NA	NA	NA	NA
30	18.836546	2.26533203	3.0931525	NA	NA	3.0931525	NA	NA	NA	NA	NA
30	18.986115	2.176102926	3.050827	NA	NA	3.050827	NA	NA	NA	NA	NA
30	19.167192	2.651667019	3.0166478	NA	NA	3.0166478	NA	NA	NA	NA	NA
30	18.180876	2.652087162	2.984711	NA	NA	2.984711	NA	NA	NA	NA	NA
30	18.817196	1.12358304	2.8916352	NA	NA	2.8916352	NA	NA	NA	NA	NA
30	18.55251	6.983102213	2.855069	NA	NA	2.855069	NA	NA	NA	NA	NA
30	20.235682	1.785911504	2.7843525	NA	NA	2.7843525	NA	NA	NA	NA	NA
30	20.508802	1.363420534	2.748742	NA	NA	2.748742	NA	NA	NA	NA	NA
30	20.736881	1.625449055	2.7240593	NA	NA	2.7240593	NA	NA	NA	NA	NA
30	20.457485	3.013900851	2.6943128	NA	NA	2.6943128	NA	NA	NA	NA	NA
30	20.454348	0.377274808	2.6616342	NA	NA	2.6616342	NA	NA	NA	NA	NA
30	19.990084	1.626114637	2.6265802	NA	NA	2.6265802	NA	NA	NA	NA	NA
30	20.662228	1.36342287	2.5865839	NA	NA	2.5865839	NA	NA	NA	NA	NA
30	20.012962	4.049415684	2.5448608	NA	NA	2.5448608	NA	NA	NA	NA	NA
30	19.686172	4.364998991	2.5015328	NA	NA	2.5015328	NA	NA	NA	NA	NA
30	20.180052	2.173784589	2.3649902	NA	NA	2.3649902	NA	NA	NA	NA	NA
30	19.261654	1.828617926	2.2404063	NA	NA	2.2404063	NA	NA	NA	NA	NA
30	18.895641	2.084515126	2.1085973	NA	NA	2.1085973	NA	NA	NA	NA	NA
30	16.873585	0.793661829	1.8500375	NA	NA	1.8500375	NA	NA	NA	NA	NA
