N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	18.209236	2.454639759	3.0805385	1.0657031	NA	3.0805385	linear	1	no	diatom	Rhizosolenia_bergonii
30	19.878368	2.394360106	2.95998	NA	NA	2.95998	NA	NA	NA	NA	NA
30	17.608313	3.038645135	2.9115758	NA	NA	2.9115758	NA	NA	NA	NA	NA
30	17.727268	2.903622816	2.8721478	NA	NA	2.8721478	NA	NA	NA	NA	NA
30	17.786882	2.970755594	2.8487358	NA	NA	2.8487358	NA	NA	NA	NA	NA
30	18.141895	2.33427062	2.7809908	NA	NA	2.7809908	NA	NA	NA	NA	NA
30	18.672539	3.462297526	2.7305288	NA	NA	2.7305288	NA	NA	NA	NA	NA
30	18.457787	3.107308716	2.7120075	NA	NA	2.7120075	NA	NA	NA	NA	NA
30	18.204363	5.073594071	2.6799214	NA	NA	2.6799214	NA	NA	NA	NA	NA
30	20.168398	2.454924912	2.5285892	NA	NA	2.5285892	NA	NA	NA	NA	NA
30	18.938908	6.583201351	2.4100745	NA	NA	2.4100745	NA	NA	NA	NA	NA
30	19.591494	8.978484874	2.238829	NA	NA	2.238829	NA	NA	NA	NA	NA
30	22.008648	9.454641026	2.0148354	NA	NA	2.0148354	NA	NA	NA	NA	NA
