N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	20.669477	1.883045362	3.3593807	1.6974757	NA	3.3593807	linear	1	no	diatom	Rhizosolenia_bergonii
30	18.834745	7.639403019	3.2421288	NA	NA	3.2421288	NA	NA	NA	NA	NA
30	19.31882	6.038190597	3.169414	NA	NA	3.169414	NA	NA	NA	NA	NA
30	19.72115	2.820451536	3.0983987	NA	NA	3.0983987	NA	NA	NA	NA	NA
30	18.938747	2.486484306	3.0577822	NA	NA	3.0577822	NA	NA	NA	NA	NA
30	19.038446	2.487540914	3.031391	NA	NA	3.031391	NA	NA	NA	NA	NA
30	19.12534	0.638140553	2.8799624	NA	NA	2.8799624	NA	NA	NA	NA	NA
30	18.44112	2.054457822	2.7981477	NA	NA	2.7981477	NA	NA	NA	NA	NA
30	20.277462	1.31477641	2.7311206	NA	NA	2.7311206	NA	NA	NA	NA	NA
30	18.981915	0.925105407	2.679326	NA	NA	2.679326	NA	NA	NA	NA	NA
30	20.014702	1.561340215	2.565115	NA	NA	2.565115	NA	NA	NA	NA	NA
30	19.154692	0.812215513	2.3665974	NA	NA	2.3665974	NA	NA	NA	NA	NA
30	18.370531	2.359504901	2.1087978	NA	NA	2.1087978	NA	NA	NA	NA	NA
30	18.467363	1.457409102	2.0544376	NA	NA	2.0544376	NA	NA	NA	NA	NA
30	19.321066	1.362556606	1.9913504	NA	NA	1.9913504	NA	NA	NA	NA	NA
30	17.303038	1.938727634	1.8840919	NA	NA	1.8840919	NA	NA	NA	NA	NA
30	17.472013	1.048444932	1.7342545	NA	NA	1.7342545	NA	NA	NA	NA	NA
30	17.403166	1.090796426	1.661905	NA	NA	1.661905	NA	NA	NA	NA	NA
