N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	4.7302704	0.430167556	3.4656644	1.3768218	NA	3.4656644	linear	1	no	diatom	Rhizosolenia_bergonii
30	2.6872723	0.455955405	3.405413	NA	NA	3.405413	NA	NA	NA	NA	NA
30	2.3125167	0.688045199	3.358529	NA	NA	3.358529	NA	NA	NA	NA	NA
30	3.422456	0.495927921	3.3345065	NA	NA	3.3345065	NA	NA	NA	NA	NA
30	3.9153523	0.30238902	3.301874	NA	NA	3.301874	NA	NA	NA	NA	NA
30	3.559515	0.537215703	3.2673516	NA	NA	3.2673516	NA	NA	NA	NA	NA
30	3.8785915	0.381150656	3.2414742	NA	NA	3.2414742	NA	NA	NA	NA	NA
30	3.7062607	0.261530676	3.1988306	NA	NA	3.1988306	NA	NA	NA	NA	NA
30	4.1138806	1.146304056	3.1153743	NA	NA	3.1153743	NA	NA	NA	NA	NA
30	3.5549572	0.580596452	3.0985668	NA	NA	3.0985668	NA	NA	NA	NA	NA
30	4.7032704	2.121402737	3.0814285	NA	NA	3.0814285	NA	NA	NA	NA	NA
30	4.3666406	0.078122151	3.049662	NA	NA	3.049662	NA	NA	NA	NA	NA
30	4.926226	0.580974298	3.0445147	NA	NA	3.0445147	NA	NA	NA	NA	NA
30	4.6183662	0.302297854	3.018255	NA	NA	3.018255	NA	NA	NA	NA	NA
30	4.3595185	0.107487721	2.9659529	NA	NA	2.9659529	NA	NA	NA	NA	NA
30	3.7151117	0.232613097	2.9051824	NA	NA	2.9051824	NA	NA	NA	NA	NA
30	4.935449	1.105369415	2.738517	NA	NA	2.738517	NA	NA	NA	NA	NA
30	4.7317758	0.737098143	2.4557168	NA	NA	2.4557168	NA	NA	NA	NA	NA
30	5.5817914	0.968040713	2.415069	NA	NA	2.415069	NA	NA	NA	NA	NA
30	3.267364	0.537640458	2.399935	NA	NA	2.399935	NA	NA	NA	NA	NA
30	3.6354108	0.405393512	2.3493876	NA	NA	2.3493876	NA	NA	NA	NA	NA
30	4.1381593	0.720769927	2.3099003	NA	NA	2.3099003	NA	NA	NA	NA	NA
30	4.0042024	0.509428499	2.2741408	NA	NA	2.2741408	NA	NA	NA	NA	NA
30	3.792877	0.455899766	2.2451956	NA	NA	2.2451956	NA	NA	NA	NA	NA
30	3.9229794	0.61042969	2.0888426	NA	NA	2.0888426	NA	NA	NA	NA	NA
