N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	5.067948	0.798599063	3.0854218	1.0641839	NA	3.0854218	linear	1	no	diatom	Rhizosolenia_bergonii
30	5.479766	0.690906739	2.9655726	NA	NA	2.9655726	NA	NA	NA	NA	NA
30	5.0209284	1.66008691	2.9176717	NA	NA	2.9176717	NA	NA	NA	NA	NA
30	5.11318	1.354737701	2.8781538	NA	NA	2.8781538	NA	NA	NA	NA	NA
30	5.4032917	1.146010929	2.8508813	NA	NA	2.8508813	NA	NA	NA	NA	NA
30	5.9207587	1.45333296	2.7840292	NA	NA	2.7840292	NA	NA	NA	NA	NA
30	5.6177707	2.430017376	2.7348232	NA	NA	2.7348232	NA	NA	NA	NA	NA
30	5.326136	1.379039206	2.715219	NA	NA	2.715219	NA	NA	NA	NA	NA
30	5.2211685	2.27095406	2.683193	NA	NA	2.683193	NA	NA	NA	NA	NA
30	5.8606625	1.554991542	2.5336328	NA	NA	2.5336328	NA	NA	NA	NA	NA
30	5.0877633	1.379039206	2.4155593	NA	NA	2.4155593	NA	NA	NA	NA	NA
30	5.9551334	2.117041296	2.2424562	NA	NA	2.2424562	NA	NA	NA	NA	NA
30	6.831334	3.085049858	2.0212379	NA	NA	2.0212379	NA	NA	NA	NA	NA
