N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	4.287653	0.178063745	3.3565388	1.6978411	NA	3.3565388	linear	1	no	diatom	Rhizosolenia_bergonii
30	4.1724253	0.242202961	3.2343285	NA	NA	3.2343285	NA	NA	NA	NA	NA
30	3.6612413	0.864140729	3.1653748	NA	NA	3.1653748	NA	NA	NA	NA	NA
30	3.6814156	1.112020656	3.0969603	NA	NA	3.0969603	NA	NA	NA	NA	NA
30	4.1168923	0.647478359	3.0531664	NA	NA	3.0531664	NA	NA	NA	NA	NA
30	3.3796637	0.834917681	2.9957902	NA	NA	2.9957902	NA	NA	NA	NA	NA
30	4.116278	0.968663419	2.8766658	NA	NA	2.8766658	NA	NA	NA	NA	NA
30	3.9638836	0.697734443	2.7942815	NA	NA	2.7942815	NA	NA	NA	NA	NA
30	4.4759717	0.516009482	2.718534	NA	NA	2.718534	NA	NA	NA	NA	NA
30	4.9034076	0.725117306	2.6699855	NA	NA	2.6699855	NA	NA	NA	NA	NA
30	4.3902497	0.793038872	2.5596929	NA	NA	2.5596929	NA	NA	NA	NA	NA
30	4.294817	0.25790502	2.3611183	NA	NA	2.3611183	NA	NA	NA	NA	NA
30	4.2125044	0.609477188	2.1100445	NA	NA	2.1100445	NA	NA	NA	NA	NA
30	3.6935077	0.451063082	2.041106	NA	NA	2.041106	NA	NA	NA	NA	NA
30	4.464411	0.685371386	1.985518	NA	NA	1.985518	NA	NA	NA	NA	NA
30	3.920229	0.146330731	1.880057	NA	NA	1.880057	NA	NA	NA	NA	NA
30	3.5691698	0.165058969	1.728101	NA	NA	1.728101	NA	NA	NA	NA	NA
30	4.0893745	0.334620021	1.6586977	NA	NA	1.6586977	NA	NA	NA	NA	NA
