N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	8.6913395	0.556376507	3.0840218	1.06094	NA	3.0840218	linear	1	no	diatom	Rhizosolenia_bergonii
30	9.373399	0.253552532	2.963479	NA	NA	2.963479	NA	NA	NA	NA	NA
30	8.805215	0.463307565	2.9135945	NA	NA	2.9135945	NA	NA	NA	NA	NA
30	8.787016	1.014093308	2.8750215	NA	NA	2.8750215	NA	NA	NA	NA	NA
30	8.582178	0.244205966	2.8500955	NA	NA	2.8500955	NA	NA	NA	NA	NA
30	8.797413	0.112660923	2.7829552	NA	NA	2.7829552	NA	NA	NA	NA	NA
30	9.254855	0.463288506	2.7345276	NA	NA	2.7345276	NA	NA	NA	NA	NA
30	9.255101	0.642940971	2.7133768	NA	NA	2.7133768	NA	NA	NA	NA	NA
30	9.609791	0.642985874	2.681102	NA	NA	2.681102	NA	NA	NA	NA	NA
30	10.254888	0.450643019	2.5319357	NA	NA	2.5319357	NA	NA	NA	NA	NA
30	8.811029	0.413945545	2.4146843	NA	NA	2.4146843	NA	NA	NA	NA	NA
30	9.139385	0.922289409	2.241813	NA	NA	2.241813	NA	NA	NA	NA	NA
30	10.307439	1.2939381	2.0230818	NA	NA	2.0230818	NA	NA	NA	NA	NA
