N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	18.356396	4.366089651	3.0526636	1.1943637	NA	3.0526636	linear	1	no	diatom	Rhizosolenia_prabergonii
30	16.77069	1.091799292	3.0184555	NA	NA	3.0184555	NA	NA	NA	NA	NA
30	14.985409	1.223698352	2.9857597	NA	NA	2.9857597	NA	NA	NA	NA	NA
30	15.704686	3.746686724	2.9566214	NA	NA	2.9566214	NA	NA	NA	NA	NA
30	17.28464	2.17532706	2.930919	NA	NA	2.930919	NA	NA	NA	NA	NA
30	15.652455	2.803876572	2.8926609	NA	NA	2.8926609	NA	NA	NA	NA	NA
30	14.54337	1.471905195	2.862178	NA	NA	2.862178	NA	NA	NA	NA	NA
30	14.079105	1.511345679	2.827124	NA	NA	2.827124	NA	NA	NA	NA	NA
30	13.799056	1.997479076	2.7905695	NA	NA	2.7905695	NA	NA	NA	NA	NA
30	12.05986	0.849106961	2.7578387	NA	NA	2.7578387	NA	NA	NA	NA	NA
30	12.303171	0.849829547	2.731783	NA	NA	2.731783	NA	NA	NA	NA	NA
30	12.13118	2.085645763	2.7005935	NA	NA	2.7005935	NA	NA	NA	NA	NA
30	13.111353	1.327481883	2.668535	NA	NA	2.668535	NA	NA	NA	NA	NA
30	13.860701	1.666205946	2.6325655	NA	NA	2.6325655	NA	NA	NA	NA	NA
30	12.535761	1.32657874	2.5940757	NA	NA	2.5940757	NA	NA	NA	NA	NA
30	12.101567	0.714332613	2.5521903	NA	NA	2.5521903	NA	NA	NA	NA	NA
30	11.9897175	4.759782165	2.5073385	NA	NA	2.5073385	NA	NA	NA	NA	NA
30	12.830585	0.74008512	2.4644914	NA	NA	2.4644914	NA	NA	NA	NA	NA
30	12.212044	1.124134304	2.4227452	NA	NA	2.4227452	NA	NA	NA	NA	NA
30	12.775607	0.456361047	2.3719373	NA	NA	2.3719373	NA	NA	NA	NA	NA
30	11.958274	0.241403204	2.3398728	NA	NA	2.3398728	NA	NA	NA	NA	NA
30	11.369281	0.662276137	2.285849	NA	NA	2.285849	NA	NA	NA	NA	NA
30	11.980631	0.662701824	2.252707	NA	NA	2.252707	NA	NA	NA	NA	NA
30	13.0351305	2.176874504	2.1947203	NA	NA	2.1947203	NA	NA	NA	NA	NA
30	14.138201	1.627783016	2.162569	NA	NA	2.162569	NA	NA	NA	NA	NA
30	14.51781	1.291427688	2.1159847	NA	NA	2.1159847	NA	NA	NA	NA	NA
30	14.019814	0.377273579	2.049637	NA	NA	2.049637	NA	NA	NA	NA	NA
30	13.141097	0.713007982	1.8582999	NA	NA	1.8582999	NA	NA	NA	NA	NA
