N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	12.672882	0.443454774	2.9133232	1.0660478	NA	2.9133232	linear	1	no	diatom	Rhizosolenia_prabergonii
30	12.537418	0.553793454	2.8689275	NA	NA	2.8689275	NA	NA	NA	NA	NA
30	12.636021	0.676598373	2.850452	NA	NA	2.850452	NA	NA	NA	NA	NA
30	12.773838	0.776788399	2.8307493	NA	NA	2.8307493	NA	NA	NA	NA	NA
30	12.775603	0.676675696	2.7826755	NA	NA	2.7826755	NA	NA	NA	NA	NA
30	13.737063	1.522459854	2.7335088	NA	NA	2.7335088	NA	NA	NA	NA	NA
30	13.032829	2.044250832	2.7112184	NA	NA	2.7112184	NA	NA	NA	NA	NA
30	12.211495	4.896669717	2.6778169	NA	NA	2.6778169	NA	NA	NA	NA	NA
30	12.879185	2.157255938	2.6286075	NA	NA	2.6286075	NA	NA	NA	NA	NA
30	10.452359	0.997367734	2.582646	NA	NA	2.582646	NA	NA	NA	NA	NA
30	11.316031	1.335067013	2.5297668	NA	NA	2.5297668	NA	NA	NA	NA	NA
30	11.983722	2.100766158	2.4805572	NA	NA	2.4805572	NA	NA	NA	NA	NA
30	12.045055	1.077421164	2.4103043	NA	NA	2.4103043	NA	NA	NA	NA	NA
30	11.714515	1.07760801	2.344925	NA	NA	2.344925	NA	NA	NA	NA	NA
30	12.2643795	1.335485319	2.304327	NA	NA	2.304327	NA	NA	NA	NA	NA
30	12.619212	1.571400138	2.2415125	NA	NA	2.2415125	NA	NA	NA	NA	NA
30	11.936736	2.214498158	2.1600573	NA	NA	2.1600573	NA	NA	NA	NA	NA
30	11.841303	3.317570816	2.092247	NA	NA	2.092247	NA	NA	NA	NA	NA
30	12.862422	2.642194983	2.0184355	NA	NA	2.0184355	NA	NA	NA	NA	NA
30	13.825376	1.380921116	1.928591	NA	NA	1.928591	NA	NA	NA	NA	NA
30	14.101055	1.988370729	1.8879532	NA	NA	1.8879532	NA	NA	NA	NA	NA
30	14.102549	0.742492422	1.8472754	NA	NA	1.8472754	NA	NA	NA	NA	NA
