N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	18.594822	1.361762967	3.099143	1.4330212	NA	3.099143	linear	1	no	diatom	Rhizosolenia_prabergonii
30	16.949284	2.113098322	3.0294812	NA	NA	3.0294812	NA	NA	NA	NA	NA
30	16.92611	1.133637196	3.003171	NA	NA	3.003171	NA	NA	NA	NA	NA
30	16.511988	2.750970546	2.9590206	NA	NA	2.9590206	NA	NA	NA	NA	NA
30	16.135284	2.053494732	2.8802934	NA	NA	2.8802934	NA	NA	NA	NA	NA
30	16.009716	1.937786498	2.8540509	NA	NA	2.8540509	NA	NA	NA	NA	NA
30	15.1665535	2.2959962	2.820056	NA	NA	2.820056	NA	NA	NA	NA	NA
30	15.143885	2.888510992	2.7986815	NA	NA	2.7986815	NA	NA	NA	NA	NA
30	14.466234	1.222899799	2.7810307	NA	NA	2.7810307	NA	NA	NA	NA	NA
30	14.194958	1.177298781	2.73185	NA	NA	2.73185	NA	NA	NA	NA	NA
30	12.819348	6.865762468	2.698207	NA	NA	2.698207	NA	NA	NA	NA	NA
30	12.121557	0.740069635	2.68386	NA	NA	2.68386	NA	NA	NA	NA	NA
30	12.320952	0.670448178	2.6310775	NA	NA	2.6310775	NA	NA	NA	NA	NA
30	13.199346	1.133992842	2.6091075	NA	NA	2.6091075	NA	NA	NA	NA	NA
30	12.376998	1.315937062	2.5783896	NA	NA	2.5783896	NA	NA	NA	NA	NA
30	12.531393	1.825892778	2.4861486	NA	NA	2.4861486	NA	NA	NA	NA	NA
30	12.498447	0.485503762	2.3644154	NA	NA	2.3644154	NA	NA	NA	NA	NA
30	12.9512615	1.048785931	2.1864197	NA	NA	2.1864197	NA	NA	NA	NA	NA
30	12.616359	1.133994972	2.1158915	NA	NA	2.1158915	NA	NA	NA	NA	NA
30	12.692208	1.176929898	2.0566092	NA	NA	2.0566092	NA	NA	NA	NA	NA
30	13.259546	1.719531293	1.997002	NA	NA	1.997002	NA	NA	NA	NA	NA
30	13.066983	1.3633388	1.9165076	NA	NA	1.9165076	NA	NA	NA	NA	NA
30	12.838516	1.26785348	1.8853972	NA	NA	1.8853972	NA	NA	NA	NA	NA
30	13.437715	1.178029122	1.7369207	NA	NA	1.7369207	NA	NA	NA	NA	NA
30	13.512385	0.704406026	1.6661218	NA	NA	1.6661218	NA	NA	NA	NA	NA
