N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	19.13144	1.892421176	3.0357838	0.5818308	NA	3.0357838	linear	1	no	diatom	Rhizosolenia_prabergonii
30	17.366808	1.379283476	3.0143664	NA	NA	3.0143664	NA	NA	NA	NA	NA
30	17.448162	2.229756738	2.9941273	NA	NA	2.9941273	NA	NA	NA	NA	NA
30	15.90179	1.458930611	2.9736202	NA	NA	2.9736202	NA	NA	NA	NA	NA
30	15.973103	2.230136036	2.8735878	NA	NA	2.8735878	NA	NA	NA	NA	NA
30	15.361163	1.58370647	2.8112407	NA	NA	2.8112407	NA	NA	NA	NA	NA
30	14.597447	1.082269864	2.742902	NA	NA	2.742902	NA	NA	NA	NA	NA
30	12.6551075	1.01433803	2.6427777	NA	NA	2.6427777	NA	NA	NA	NA	NA
30	12.332613	0.731652705	2.6136317	NA	NA	2.6136317	NA	NA	NA	NA	NA
30	13.016881	1.583385581	2.5840268	NA	NA	2.5840268	NA	NA	NA	NA	NA
30	13.880765	1.301004859	2.514946	NA	NA	2.514946	NA	NA	NA	NA	NA
30	12.819851	0.648276184	2.4851267	NA	NA	2.4851267	NA	NA	NA	NA	NA
30	12.513881	0.946384589	2.453953	NA	NA	2.453953	NA	NA	NA	NA	NA
