N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	3.2745028	0.610300939	3.1230955	1.0828314	NA	3.1230955	linear	1	no	diatom	Rhizosolenia_prabergonii
30	3.1882753	0.58053321	3.1038318	NA	NA	3.1038318	NA	NA	NA	NA	NA
30	2.967098	0.417555313	3.0817416	NA	NA	3.0817416	NA	NA	NA	NA	NA
30	2.6204095	0.141497474	3.0636911	NA	NA	3.0636911	NA	NA	NA	NA	NA
30	1.8493749	0.172079947	3.04401	NA	NA	3.04401	NA	NA	NA	NA	NA
30	1.7920002	0.271316704	3.0275083	NA	NA	3.0275083	NA	NA	NA	NA	NA
30	2.0917864	0.07823774	3.001619	NA	NA	3.001619	NA	NA	NA	NA	NA
30	1.7935718	0.180034563	2.9753652	NA	NA	2.9753652	NA	NA	NA	NA	NA
30	1.872553	0.141373142	2.915036	NA	NA	2.915036	NA	NA	NA	NA	NA
30	1.7403744	0.736672195	2.8202727	NA	NA	2.8202727	NA	NA	NA	NA	NA
30	0.5657729	0.041009194	2.7495732	NA	NA	2.7495732	NA	NA	NA	NA	NA
30	0.80909425	0.134334367	2.6769946	NA	NA	2.6769946	NA	NA	NA	NA	NA
30	0.57069474	0.040942212	2.586283	NA	NA	2.586283	NA	NA	NA	NA	NA
30	0.5727627	0.049249219	2.5176735	NA	NA	2.5176735	NA	NA	NA	NA	NA
30	0.59354204	0.033522988	2.4682865	NA	NA	2.4682865	NA	NA	NA	NA	NA
30	0.5852204	0.030155875	2.4243708	NA	NA	2.4243708	NA	NA	NA	NA	NA
30	1.0679753	0.171942667	2.4081986	NA	NA	2.4081986	NA	NA	NA	NA	NA
30	1.155609	0.156447731	2.3808079	NA	NA	2.3808079	NA	NA	NA	NA	NA
30	0.7418593	0.037211737	2.3476224	NA	NA	2.3476224	NA	NA	NA	NA	NA
30	0.59809166	0.049157488	2.317346	NA	NA	2.317346	NA	NA	NA	NA	NA
30	0.7920291	0.10130897	2.283159	NA	NA	2.283159	NA	NA	NA	NA	NA
30	1.0437548	0.214301268	2.2517517	NA	NA	2.2517517	NA	NA	NA	NA	NA
30	1.0832454	0.196850035	2.2215872	NA	NA	2.2215872	NA	NA	NA	NA	NA
30	1.1738571	0.334761991	2.095399	NA	NA	2.095399	NA	NA	NA	NA	NA
30	0.9334723	0.141466518	2.0705523	NA	NA	2.0705523	NA	NA	NA	NA	NA
30	0.7704143	0.072934996	2.0402641	NA	NA	2.0402641	NA	NA	NA	NA	NA
