N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	2.1420956	0.181524397	2.9165218	1.0655193	NA	2.9165218	linear	1	no	diatom	Rhizosolenia_prabergonii
30	1.8705655	0.499364822	2.8759367	NA	NA	2.8759367	NA	NA	NA	NA	NA
30	1.8801969	0.090857513	2.8524935	NA	NA	2.8524935	NA	NA	NA	NA	NA
30	1.8482178	0.164245151	2.8278358	NA	NA	2.8278358	NA	NA	NA	NA	NA
30	1.8986986	0.280839583	2.7821689	NA	NA	2.7821689	NA	NA	NA	NA	NA
30	2.0427127	0.164245232	2.7364593	NA	NA	2.7364593	NA	NA	NA	NA	NA
30	2.0419915	1.660808775	2.7142544	NA	NA	2.7142544	NA	NA	NA	NA	NA
30	1.8122724	1.145924861	2.681052	NA	NA	2.681052	NA	NA	NA	NA	NA
30	1.9874644	0.401789909	2.635328	NA	NA	2.635328	NA	NA	NA	NA	NA
30	1.0295815	0.31499146	2.5814872	NA	NA	2.5814872	NA	NA	NA	NA	NA
30	1.3190922	0.238546868	2.535711	NA	NA	2.535711	NA	NA	NA	NA	NA
30	1.1615204	0.30334561	2.483971	NA	NA	2.483971	NA	NA	NA	NA	NA
30	1.4085792	0.428624888	2.4110749	NA	NA	2.4110749	NA	NA	NA	NA	NA
30	1.0321616	0.090809231	2.340931	NA	NA	2.340931	NA	NA	NA	NA	NA
30	1.207594	0.209063662	2.3026085	NA	NA	2.3026085	NA	NA	NA	NA	NA
30	1.4030504	0.292178951	2.2408383	NA	NA	2.2408383	NA	NA	NA	NA	NA
30	0.953564	0.110598548	2.1608589	NA	NA	2.1608589	NA	NA	NA	NA	NA
30	0.90970993	0.110598462	2.0905628	NA	NA	2.0905628	NA	NA	NA	NA	NA
30	1.0425302	0.164310082	2.020186	NA	NA	2.020186	NA	NA	NA	NA	NA
30	1.133139	0.280924487	1.9300905	NA	NA	1.9300905	NA	NA	NA	NA	NA
30	1.3604543	0.326764973	1.8892772	NA	NA	1.8892772	NA	NA	NA	NA	NA
30	1.4319606	0.199632117	1.8510025	NA	NA	1.8510025	NA	NA	NA	NA	NA
