N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	3.829862	1.064075391	3.0966668	1.4322525	NA	3.0966668	linear	1	no	diatom	Rhizosolenia_prabergonii
30	4.0232882	1.016115207	3.0565317	NA	NA	3.0565317	NA	NA	NA	NA	NA
30	3.0217853	0.686126116	3.0283	NA	NA	3.0283	NA	NA	NA	NA	NA
30	2.9657278	0.793985607	2.999789	NA	NA	2.999789	NA	NA	NA	NA	NA
30	2.6515386	0.939620617	2.9654279	NA	NA	2.9654279	NA	NA	NA	NA	NA
30	2.1398232	0.325728852	2.8853445	NA	NA	2.8853445	NA	NA	NA	NA	NA
30	2.3177755	0.220038017	2.8484201	NA	NA	2.8484201	NA	NA	NA	NA	NA
30	2.2693033	0.242277969	2.8151238	NA	NA	2.8151238	NA	NA	NA	NA	NA
30	2.0108678	0.113327365	2.802914	NA	NA	2.802914	NA	NA	NA	NA	NA
30	1.8689436	0.113071864	2.7761629	NA	NA	2.7761629	NA	NA	NA	NA	NA
30	1.2105279	0.227284174	2.7329419	NA	NA	2.7329419	NA	NA	NA	NA	NA
30	1.0912075	0.282341537	2.688655	NA	NA	2.688655	NA	NA	NA	NA	NA
30	0.9872094	0.171720199	2.6379771	NA	NA	2.6379771	NA	NA	NA	NA	NA
30	1.1808635	0.27409965	2.6026118	NA	NA	2.6026118	NA	NA	NA	NA	NA
30	0.92970943	0.123504423	2.579257	NA	NA	2.579257	NA	NA	NA	NA	NA
30	0.933119	0.257750659	2.487024	NA	NA	2.487024	NA	NA	NA	NA	NA
30	1.185253	0.250030301	2.3672674	NA	NA	2.3672674	NA	NA	NA	NA	NA
30	0.8716643	0.234500581	2.1818452	NA	NA	2.1818452	NA	NA	NA	NA	NA
30	0.9780091	0.177808035	2.1180305	NA	NA	2.1180305	NA	NA	NA	NA	NA
30	1.1392725	0.152784438	2.058878	NA	NA	2.058878	NA	NA	NA	NA	NA
30	1.0581818	0.165059091	1.997024	NA	NA	1.997024	NA	NA	NA	NA	NA
30	1.1483692	0.171531438	1.9221107	NA	NA	1.9221107	NA	NA	NA	NA	NA
30	0.8732448	0.097620628	1.8876724	NA	NA	1.8876724	NA	NA	NA	NA	NA
30	0.9755658	0.152725062	1.7395903	NA	NA	1.7395903	NA	NA	NA	NA	NA
30	1.1985738	0.241979088	1.6644143	NA	NA	1.6644143	NA	NA	NA	NA	NA
