N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	3.9021642	0.428291975	3.0366275	0.5787007	NA	3.0366275	linear	1	no	diatom	Rhizosolenia_prabergonii
30	2.7119071	0.262694279	3.015885	NA	NA	3.015885	NA	NA	NA	NA	NA
30	2.97809	0.282166003	2.9989874	NA	NA	2.9989874	NA	NA	NA	NA	NA
30	2.0410156	0.2438257	2.9755206	NA	NA	2.9755206	NA	NA	NA	NA	NA
30	2.1935475	0.161007742	2.8804407	NA	NA	2.8804407	NA	NA	NA	NA	NA
30	2.0793805	0.087760626	2.8134062	NA	NA	2.8134062	NA	NA	NA	NA	NA
30	1.5145817	0.365821627	2.7478364	NA	NA	2.7478364	NA	NA	NA	NA	NA
30	1.297043	0.202899977	2.647227	NA	NA	2.647227	NA	NA	NA	NA	NA
30	0.98350334	0.237768837	2.6204844	NA	NA	2.6204844	NA	NA	NA	NA	NA
30	1.27503	0.219923013	2.5894294	NA	NA	2.5894294	NA	NA	NA	NA	NA
30	1.4757632	0.262501908	2.5197475	NA	NA	2.5197475	NA	NA	NA	NA	NA
30	1.1684422	0.288307248	2.491999	NA	NA	2.491999	NA	NA	NA	NA	NA
30	1.4786249	0.256025981	2.4579268	NA	NA	2.4579268	NA	NA	NA	NA	NA
