N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	6.1198997	0.515449905	2.913037	1.061884	NA	2.913037	linear	1	no	diatom	Rhizosolenia_prabergonii
30	6.1203637	0.463307156	2.8732238	NA	NA	2.8732238	NA	NA	NA	NA	NA
30	6.568177	0.334185736	2.8509219	NA	NA	2.8509219	NA	NA	NA	NA	NA
30	7.12785	0.940256612	2.8311312	NA	NA	2.8311312	NA	NA	NA	NA	NA
30	6.95123	0.476047561	2.7850604	NA	NA	2.7850604	NA	NA	NA	NA	NA
30	7.69776	0.768126039	2.7329602	NA	NA	2.7329602	NA	NA	NA	NA	NA
30	7.2690587	0.735736263	2.715453	NA	NA	2.715453	NA	NA	NA	NA	NA
30	6.803235	1.929969718	2.683008	NA	NA	2.683008	NA	NA	NA	NA	NA
30	5.2193427	0.323526273	2.5806575	NA	NA	2.5806575	NA	NA	NA	NA	NA
30	7.0567236	0.784659179	2.5337603	NA	NA	2.5337603	NA	NA	NA	NA	NA
30	7.3183904	0.784659179	2.4828038	NA	NA	2.4828038	NA	NA	NA	NA	NA
30	6.974214	1.955964479	2.413059	NA	NA	2.413059	NA	NA	NA	NA	NA
30	8.774574	0.642893824	2.342515	NA	NA	2.342515	NA	NA	NA	NA	NA
30	8.468042	1.380077504	2.2429178	NA	NA	2.2429178	NA	NA	NA	NA	NA
30	7.8909106	0.801187182	2.160683	NA	NA	2.160683	NA	NA	NA	NA	NA
30	8.068864	1.853112098	2.0922906	NA	NA	2.0922906	NA	NA	NA	NA	NA
30	9.272517	1.19014572	2.0191345	NA	NA	2.0191345	NA	NA	NA	NA	NA
30	9.683818	1.110161464	1.9296398	NA	NA	1.9296398	NA	NA	NA	NA	NA
30	9.2926445	1.149776892	1.8922336	NA	NA	1.8922336	NA	NA	NA	NA	NA
30	9.181234	0.688579657	1.851153	NA	NA	1.851153	NA	NA	NA	NA	NA
